distribution,rate,clip,forecaster,target,exact_bias,exact_variance,exact_rmse,mc_bias,mc_rmse,p50,p95,p99,mean_ess,max_weight,top_forecaster_recovery
"[1, 2, 4, 8]",0.005,100,2,0.7543553551776685,-0.36078766120061545,0.045924210153529495,0.4196331095470656,-0.3599895377083946,0.4169442689864053,0.3747,0.77525618445,0.95498493195,3.4301917397747745,100,0.211
"[1, 2, 4, 8]",0.02,,0,0.7536951666666667,0.0,0.07017421958215059,0.2649041705639052,-0.0012267552420291983,0.25419127888830156,0.7385081483375,1.2077527039499998,1.4857494885999998,8.760349492710414,225.78180000000003,0.334
"[1, 2, 4, 8]",0.02,,1,0.7241116666666666,0.0,0.06661353019021514,0.2580959708910915,-0.0010555019358791107,0.24557327908991694,0.7099353543625,1.1526579787625,1.4350280894374998,8.760349492710414,225.78180000000003,0.334
"[1, 2, 4, 8]",0.02,,2,0.7543553551776685,0.0,0.06899536513527228,0.2626696882688832,-0.0007758329101283934,0.25134943615554234,0.7361348453096292,1.1942222113124998,1.48166992540625,8.760349492710414,225.78180000000003,0.334
"[1, 2, 4, 8]",0.02,10,0,0.7536951666666667,-0.5790887506130618,0.0020726933328267896,0.5808756101089317,-0.579045555,0.5808375973784029,0.17230666666666666,0.25174833333333335,0.2911533333333333,13.889,10,0.436
"[1, 2, 4, 8]",0.02,10,1,0.7241116666666666,-0.554920081180576,0.0020902887217289098,0.5568003100027746,-0.5544904783333333,0.5563990096377404,0.16790666666666668,0.247915,0.2870983333333333,13.889,10,0.436
"[1, 2, 4, 8]",0.02,10,2,0.7543553551776685,-0.5790505520950934,0.0021073315418361866,0.5808673458057947,-0.5786207274496492,0.5804523604689067,0.174235,0.2535483333333333,0.29291855553703705,13.889,10,0.436
"[1, 2, 4, 8]",0.02,50,0,0.7536951666666667,-0.20356887745676344,0.023739670885070736,0.25530365989166215,-0.20446443115344592,0.2545112186065066,0.5427326485874999,0.7965051619041668,0.9291048545625,12.045070757798022,50,0.394
"[1, 2, 4, 8]",0.02,50,1,0.7241116666666666,-0.1930260456990781,0.023295091206145455,0.24607751933967484,-0.19306540832127905,0.2446993121301112,0.5230077355874999,0.7768197423208333,0.9064754739999998,12.045070757798022,50,0.394
"[1, 2, 4, 8]",0.02,50,2,0.7543553551776685,-0.20223501587926318,0.023805104218334396,0.25437001762397277,-0.20210892497997568,0.25285382458585653,0.5437000490194444,0.802752997225,0.9430503691541666,12.045070757798022,50,0.394
"[1, 2, 4, 8]",0.02,100,0,0.7536951666666667,-0.07292623670593978,0.046081564059946546,0.22671524002597906,-0.07371607694036253,0.219622998917983,0.6687044773,1.0465162679,1.215591843175,9.950630875833157,100,0.345
"[1, 2, 4, 8]",0.02,100,1,0.7241116666666666,-0.06845568899830312,0.044339634819294343,0.22141774132965666,-0.06855063227394587,0.21348559367121087,0.6465823374249999,1.0217992246416665,1.1953004869875001,9.950630875833157,100,0.345
"[1, 2, 4, 8]",0.02,100,2,0.7543553551776685,-0.07207583863976941,0.04569114831126104,0.2255794202202123,-0.07196475548952841,0.2180743010519458,0.6672552603124999,1.0484519704250002,1.2050596253374999,9.950630875833157,100,0.345
